SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Arw.13	Rhizosphere	Redstem	Tenericutes	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	TM6	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	TM7	22435	6	3.1199857372080585e-4
Arw.13	Rhizosphere	Redstem	TPD-58	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	unclassified	22435	3	1.7828489926903192e-4
Arw.13	Rhizosphere	Redstem	Verrucomicrobia	22435	1222	0.05451060795150651
Arw.13	Rhizosphere	Redstem	WPS-2	22435	14	6.685683722588697e-4
Arw.13	Rhizosphere	Redstem	WS1	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	WS2	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	WS3	22435	65	0.0029417008379390265
Arw.13	Rhizosphere	Redstem	WS4	22435	1	8.914244963451596e-5
Arw.13	Rhizosphere	Redstem	WS5	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	WWE1	22435	2	1.3371367445177393e-4
Arw.13	Rhizosphere	Redstem	ZB3	22435	2	1.3371367445177393e-4
Arw.13	Rhizosphere	Redstem	Alphaproteobacteria	22435	1396	0.06226600106970939
Arw.13	Rhizosphere	Redstem	Betaproteobacteria	22435	4438	0.19785166696380815
Arw.13	Rhizosphere	Redstem	Deltaproteobacteria	22435	2325	0.10367266892494206
Arw.13	Rhizosphere	Redstem	Epsilonproteobacteria	22435	38	0.0017382777678730612
Arw.13	Rhizosphere	Redstem	Gammaproteobacteria	22435	873	0.03895525049028347
Arw.13	Rhizosphere	Redstem	TA18	22435	1	8.914244963451596e-5
Arw.13	Rhizosphere	Redstem	Zetaproteobacteria	22435	0	4.457122481725798e-5
Arw.14	Rhizosphere	Redstem	[Parvarchaeota]	22882	1	8.740112747454443e-5
Arw.14	Rhizosphere	Redstem	[Thermi]	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	AC1	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Acidobacteria	22882	4114	0.17982781977887516
Arw.14	Rhizosphere	Redstem	Actinobacteria	22882	787	0.0344360442249705
Arw.14	Rhizosphere	Redstem	AD3	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Armatimonadetes	22882	365	0.015994406327841628
Arw.14	Rhizosphere	Redstem	Bacteroidetes	22882	2136	0.09338810470655072
Arw.14	Rhizosphere	Redstem	BHI80-139	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	BRC1	22882	27	0.001223615784643622
Arw.14	Rhizosphere	Redstem	Caldiserica	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Chlamydiae	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Chlorobi	22882	320	0.01402788095966438
Arw.14	Rhizosphere	Redstem	Chloroflexi	22882	1071	0.04684700432635581
Arw.14	Rhizosphere	Redstem	Crenarchaeota	22882	28	0.0012673163483808941
Arw.14	Rhizosphere	Redstem	Cyanobacteria	22882	183	0.008040903727658087
Arw.14	Rhizosphere	Redstem	Elusimicrobia	22882	12	5.681073285845387e-4
Arw.14	Rhizosphere	Redstem	Euryarchaeota	22882	89	0.003933050736354499
Arw.14	Rhizosphere	Redstem	FBP	22882	8	3.933050736354499e-4
Arw.14	Rhizosphere	Redstem	FCPU426	22882	1	8.740112747454443e-5
Arw.14	Rhizosphere	Redstem	Fibrobacteres	22882	1	8.740112747454443e-5
Arw.14	Rhizosphere	Redstem	Firmicutes	22882	130	0.005724773849582659
Arw.14	Rhizosphere	Redstem	Fusobacteria	22882	6	3.059039461609055e-4
Arw.14	Rhizosphere	Redstem	GAL15	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Gemmatimonadetes	22882	720	0.03150810645457326
Arw.14	Rhizosphere	Redstem	GN02	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	GN04	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	GOUTA4	22882	0	4.3700563737272214e-5
Arw.14	Rhizosphere	Redstem	Kazan-3B-28	22882	0	4.3700563737272214e-5
